,Class,Age,Sex,Survived
230,first,adult,female,yes
901,third,adult,male,no
1521,crew,adult,male,no
1958,crew,adult,male,no
1585,crew,adult,male,no
380,second,adult,male,no
1544,crew,adult,male,no
864,third,adult,male,no
1288,third,child,female,yes
787,third,adult,male,no
101,first,adult,male,no
1830,crew,adult,male,no
1859,crew,adult,male,no
1477,crew,adult,male,yes
1473,crew,adult,male,yes
1608,crew,adult,male,no
877,third,adult,male,no
1704,crew,adult,male,no
675,third,adult,male,yes
566,second,adult,female,yes
1998,crew,adult,male,no
1478,crew,adult,male,yes
798,third,adult,male,no
523,second,adult,female,yes
626,third,adult,male,yes
495,second,adult,female,yes
1606,crew,adult,male,no
158,first,adult,male,no
790,third,adult,male,no
1965,crew,adult,male,no
1790,crew,adult,male,no
366,second,adult,male,no
1364,crew,adult,male,yes
228,first,adult,female,yes
912,third,adult,male,no
417,second,adult,male,no
1230,third,adult,female,no
742,third,adult,male,no
79,first,adult,male,no
1214,third,adult,female,no
492,second,adult,male,no
1169,third,adult,female,no
2139,crew,adult,male,no
1917,crew,adult,male,no
1342,crew,adult,male,yes
824,third,adult,male,no
1625,crew,adult,male,no
1504,crew,adult,male,yes
1168,third,adult,female,no
1978,crew,adult,male,no
1885,crew,adult,male,no
1654,crew,adult,male,no
1024,third,adult,male,no
413,second,adult,male,no
592,second,child,male,yes
2107,crew,adult,male,no
1529,crew,adult,male,no
1943,crew,adult,male,no
1178,third,adult,female,no
1655,crew,adult,male,no
1372,crew,adult,male,yes
127,first,adult,male,no
1713,crew,adult,male,no
1775,crew,adult,male,no
1717,crew,adult,male,no
403,second,adult,male,no
150,first,adult,male,no
346,second,adult,male,no
1932,crew,adult,male,no
394,second,adult,male,no
62,first,adult,male,no
1519,crew,adult,male,no
208,first,adult,female,yes
496,second,adult,female,yes
352,second,adult,male,no
95,first,adult,male,no
1061,third,adult,male,no
959,third,adult,male,no
143,first,adult,male,no
1182,third,adult,female,no
1648,crew,adult,male,no
1820,crew,adult,male,no
1237,third,child,male,yes
1439,crew,adult,male,yes
236,first,adult,female,yes
222,first,adult,female,yes
2069,crew,adult,male,no
345,second,adult,male,no
120,first,adult,male,no
588,second,child,male,yes
559,second,adult,female,yes
332,second,adult,male,yes
1086,third,adult,female,yes
2065,crew,adult,male,no
193,first,adult,female,yes
235,first,adult,female,yes
181,first,adult,female,yes
1922,crew,adult,male,no
389,second,adult,male,no
968,third,adult,male,no
1593,crew,adult,male,no
669,third,adult,male,yes
2044,crew,adult,male,no
1485,crew,adult,male,yes
1682,crew,adult,male,no
370,second,adult,male,no
1406,crew,adult,male,yes
2007,crew,adult,male,no
1394,crew,adult,male,yes
331,second,adult,male,yes
614,third,adult,male,yes
1286,third,child,female,yes
1030,third,adult,male,no
266,first,adult,female,yes
1062,third,adult,male,no
2172,crew,adult,male,no
545,second,adult,female,yes
1142,third,adult,female,yes
1474,crew,adult,male,yes
105,first,adult,male,no
2197,crew,adult,female,yes
128,first,adult,male,no
630,third,adult,male,yes
683,third,adult,male,yes
20,first,adult,male,yes
870,third,adult,male,no
242,first,adult,female,yes
50,first,adult,male,yes
1186,third,adult,female,no
915,third,adult,male,no
441,second,adult,male,no
707,third,adult,male,no
2084,crew,adult,male,no
2190,crew,adult,female,yes
822,third,adult,male,no
301,first,adult,female,yes
172,first,adult,male,no
284,first,adult,female,yes
1258,third,child,male,no
920,third,adult,male,no
1433,crew,adult,male,yes
1758,crew,adult,male,no
734,third,adult,male,no
1234,third,adult,female,no
344,second,adult,male,no
306,first,adult,female,yes
2040,crew,adult,male,no
2181,crew,adult,female,yes
922,third,adult,male,no
2055,crew,adult,male,no
1402,crew,adult,male,yes
2073,crew,adult,male,no
167,first,adult,male,no
421,second,adult,male,no
225,first,adult,female,yes
12,first,adult,male,yes
1789,crew,adult,male,no
1092,third,adult,female,yes
90,first,adult,male,no
1809,crew,adult,male,no
1959,crew,adult,male,no
1404,crew,adult,male,yes
857,third,adult,male,no
2021,crew,adult,male,no
1396,crew,adult,male,yes
1282,third,child,male,no
2018,crew,adult,male,no
304,first,adult,female,yes
2145,crew,adult,male,no
1852,crew,adult,male,no
2091,crew,adult,male,no
28,first,adult,male,yes
1066,third,adult,male,no
1232,third,adult,female,no
2159,crew,adult,male,no
490,second,adult,male,no
74,first,adult,male,no
515,second,adult,female,yes
1309,third,child,female,no
1869,crew,adult,male,no
1095,third,adult,female,yes
561,second,adult,female,yes
179,first,adult,female,yes
109,first,adult,male,no
116,first,adult,male,no
293,first,adult,female,yes
1100,third,adult,female,yes
1072,third,adult,female,yes
643,third,adult,male,yes
772,third,adult,male,no
1969,crew,adult,male,no
1842,crew,adult,male,no
1356,crew,adult,male,yes
622,third,adult,male,yes
1935,crew,adult,male,no
1939,crew,adult,male,no
409,second,adult,male,no
636,third,adult,male,yes
115,first,adult,male,no
288,first,adult,female,yes
886,third,adult,male,no
1181,third,adult,female,no
337,second,adult,male,yes
1727,crew,adult,male,no
2149,crew,adult,male,no
1012,third,adult,male,no
1520,crew,adult,male,no
46,first,adult,male,yes
747,third,adult,male,no
2067,crew,adult,male,no
753,third,adult,male,no
462,second,adult,male,no
673,third,adult,male,yes
1539,crew,adult,male,no
1463,crew,adult,male,yes
1201,third,adult,female,no
2167,crew,adult,male,no
424,second,adult,male,no
325,second,adult,male,yes
664,third,adult,male,yes
350,second,adult,male,no
447,second,adult,male,no
1601,crew,adult,male,no
1041,third,adult,male,no
1221,third,adult,female,no
1688,crew,adult,male,no
1149,third,adult,female,no
387,second,adult,male,no
1369,crew,adult,male,yes
2049,crew,adult,male,no
1337,crew,adult,male,yes
754,third,adult,male,no
138,first,adult,male,no
451,second,adult,male,no
1194,third,adult,female,no
699,third,adult,male,no
1157,third,adult,female,no
2014,crew,adult,male,no
830,third,adult,male,no
1102,third,adult,female,yes
950,third,adult,male,no
1019,third,adult,male,no
1872,crew,adult,male,no
1370,crew,adult,male,yes
396,second,adult,male,no
1413,crew,adult,male,yes
1409,crew,adult,male,yes
1143,third,adult,female,yes
1870,crew,adult,male,no
1177,third,adult,female,no
1816,crew,adult,male,no
1253,third,child,male,no
2015,crew,adult,male,no
21,first,adult,male,yes
1305,third,child,female,no
766,third,adult,male,no
392,second,adult,male,no
250,first,adult,female,yes
1267,third,child,male,no
1770,crew,adult,male,no
1059,third,adult,male,no
671,third,adult,male,yes
2072,crew,adult,male,no
845,third,adult,male,no
1786,crew,adult,male,no
1622,crew,adult,male,no
1353,crew,adult,male,yes
1133,third,adult,female,yes
1403,crew,adult,male,yes
869,third,adult,male,no
604,second,child,female,yes
1629,crew,adult,male,no
1840,crew,adult,male,no
627,third,adult,male,yes
902,third,adult,male,no
856,third,adult,male,no
1195,third,adult,female,no
1262,third,child,male,no
700,third,adult,male,no
1742,crew,adult,male,no
1862,crew,adult,male,no
709,third,adult,male,no
448,second,adult,male,no
321,first,child,male,yes
2094,crew,adult,male,no
696,third,adult,male,no
1179,third,adult,female,no
2126,crew,adult,male,no
624,third,adult,male,yes
2050,crew,adult,male,no
125,first,adult,male,no
1011,third,adult,male,no
1480,crew,adult,male,yes
1090,third,adult,female,yes
848,third,adult,male,no
780,third,adult,male,no
605,second,child,female,yes
174,first,adult,male,no
1856,crew,adult,male,no
1202,third,adult,female,no
1967,crew,adult,male,no
415,second,adult,male,no
100,first,adult,male,no
1270,third,child,male,no
1868,crew,adult,male,no
741,third,adult,male,no
334,second,adult,male,yes
1945,crew,adult,male,no
1974,crew,adult,male,no
834,third,adult,male,no
833,third,adult,male,no
1244,third,child,male,yes
1415,crew,adult,male,yes
594,second,child,male,yes
939,third,adult,male,no
1333,crew,adult,male,yes
2063,crew,adult,male,no
169,first,adult,male,no
1551,crew,adult,male,no
1664,crew,adult,male,no
1269,third,child,male,no
1542,crew,adult,male,no
1724,crew,adult,male,no
1714,crew,adult,male,no
2017,crew,adult,male,no
640,third,adult,male,yes
104,first,adult,male,no
815,third,adult,male,no
2019,crew,adult,male,no
1597,crew,adult,male,no
998,third,adult,male,no
1075,third,adult,female,yes
1626,crew,adult,male,no
1378,crew,adult,male,yes
719,third,adult,male,no
460,second,adult,male,no
1046,third,adult,male,no
1398,crew,adult,male,yes
1562,crew,adult,male,no
1242,third,child,male,yes
585,second,adult,female,no
1675,crew,adult,male,no
1860,crew,adult,male,no
1389,crew,adult,male,yes
1950,crew,adult,male,no
1229,third,adult,female,no
1522,crew,adult,male,no
497,second,adult,female,yes
1540,crew,adult,male,no
702,third,adult,male,no
375,second,adult,male,no
975,third,adult,male,no
1209,third,adult,female,no
1853,crew,adult,male,no
404,second,adult,male,no
419,second,adult,male,no
1425,crew,adult,male,yes
1709,crew,adult,male,no
2187,crew,adult,female,yes
1465,crew,adult,male,yes
1156,third,adult,female,no
173,first,adult,male,no
690,third,adult,male,no
827,third,adult,male,no
428,second,adult,male,no
1765,crew,adult,male,no
1139,third,adult,female,yes
32,first,adult,male,yes
718,third,adult,male,no
282,first,adult,female,yes
1785,crew,adult,male,no
1120,third,adult,female,yes
1977,crew,adult,male,no
635,third,adult,male,yes
738,third,adult,male,no
499,second,adult,female,yes
1098,third,adult,female,yes
1113,third,adult,female,yes
1574,crew,adult,male,no
691,third,adult,male,no
1769,crew,adult,male,no
0,first,adult,male,yes
1582,crew,adult,male,no
1416,crew,adult,male,yes
1500,crew,adult,male,yes
1173,third,adult,female,no
1543,crew,adult,male,no
926,third,adult,male,no
1131,third,adult,female,yes
1984,crew,adult,male,no
1669,crew,adult,male,no
1882,crew,adult,male,no
1247,third,child,male,yes
1887,crew,adult,male,no
327,second,adult,male,yes
102,first,adult,male,no
1347,crew,adult,male,yes
1644,crew,adult,male,no
1499,crew,adult,male,yes
213,first,adult,female,yes
1159,third,adult,female,no
852,third,adult,male,no
246,first,adult,female,yes
72,first,adult,male,no
1924,crew,adult,male,no
2098,crew,adult,male,no
1671,crew,adult,male,no
1796,crew,adult,male,no
1997,crew,adult,male,no
1461,crew,adult,male,yes
1225,third,adult,female,no
365,second,adult,male,no
248,first,adult,female,yes
736,third,adult,male,no
26,first,adult,male,yes
836,third,adult,male,no
1893,crew,adult,male,no
1441,crew,adult,male,yes
444,second,adult,male,no
680,third,adult,male,yes
1834,crew,adult,male,no
1250,third,child,male,no
3,first,adult,male,yes
134,first,adult,male,no
837,third,adult,male,no
355,second,adult,male,no
292,first,adult,female,yes
698,third,adult,male,no
1048,third,adult,male,no
2030,crew,adult,male,no
2158,crew,adult,male,no
369,second,adult,male,no
1252,third,child,male,no
1961,crew,adult,male,no
1667,crew,adult,male,no
1249,third,child,male,yes
226,first,adult,female,yes
1393,crew,adult,male,yes
1298,third,child,female,yes
339,second,adult,male,no
1443,crew,adult,male,yes
2045,crew,adult,male,no
603,second,child,female,yes
1468,crew,adult,male,yes
1289,third,child,female,yes
454,second,adult,male,no
63,first,adult,male,no
1579,crew,adult,male,no
990,third,adult,male,no
1384,crew,adult,male,yes
237,first,adult,female,yes
650,third,adult,male,yes
112,first,adult,male,no
2185,crew,adult,female,yes
1891,crew,adult,male,no
1981,crew,adult,male,no
1556,crew,adult,male,no
577,second,adult,female,no
126,first,adult,male,no
1283,third,child,male,no
1008,third,adult,male,no
2035,crew,adult,male,no
1745,crew,adult,male,no
2095,crew,adult,male,no
1985,crew,adult,male,no
851,third,adult,male,no
694,third,adult,male,no
137,first,adult,male,no
1009,third,adult,male,no
2123,crew,adult,male,no
7,first,adult,male,yes
502,second,adult,female,yes
854,third,adult,male,no
947,third,adult,male,no
631,third,adult,male,yes
2101,crew,adult,male,no
929,third,adult,male,no
1972,crew,adult,male,no
2113,crew,adult,male,no
407,second,adult,male,no
697,third,adult,male,no
357,second,adult,male,no
1377,crew,adult,male,yes
153,first,adult,male,no
1590,crew,adult,male,no
1566,crew,adult,male,no
343,second,adult,male,no
305,first,adult,female,yes
1004,third,adult,male,no
612,third,adult,male,yes
2140,crew,adult,male,no
280,first,adult,female,yes
2039,crew,adult,male,no
1773,crew,adult,male,no
882,third,adult,male,no
1080,third,adult,female,yes
400,second,adult,male,no
1596,crew,adult,male,no
1497,crew,adult,male,yes
468,second,adult,male,no
1479,crew,adult,male,yes
1233,third,adult,female,no
1798,crew,adult,male,no
1763,crew,adult,male,no
1800,crew,adult,male,no
504,second,adult,female,yes
534,second,adult,female,yes
1016,third,adult,male,no
1744,crew,adult,male,no
903,third,adult,male,no
1907,crew,adult,male,no
1672,crew,adult,male,no
1703,crew,adult,male,no
550,second,adult,female,yes
889,third,adult,male,no
1805,crew,adult,male,no
1324,crew,adult,male,yes
1937,crew,adult,male,no
1130,third,adult,female,yes
945,third,adult,male,no
1594,crew,adult,male,no
163,first,adult,male,no
1660,crew,adult,male,no
1690,crew,adult,male,no
336,second,adult,male,yes
59,first,adult,male,no
1118,third,adult,female,yes
2130,crew,adult,male,no
1077,third,adult,female,yes
1514,crew,adult,male,no
2188,crew,adult,female,yes
449,second,adult,male,no
855,third,adult,male,no
1874,crew,adult,male,no
1864,crew,adult,male,no
2087,crew,adult,male,no
1532,crew,adult,male,no
1847,crew,adult,male,no
1850,crew,adult,male,no
437,second,adult,male,no
1694,crew,adult,male,no
1587,crew,adult,male,no
1314,third,child,female,no
1397,crew,adult,male,yes
786,third,adult,male,no
873,third,adult,male,no
739,third,adult,male,no
819,third,adult,male,no
1243,third,child,male,yes
1457,crew,adult,male,yes
1006,third,adult,male,no
1844,crew,adult,male,no
586,second,child,male,yes
1306,third,child,female,no
941,third,adult,male,no
348,second,adult,male,no
1953,crew,adult,male,no
1028,third,adult,male,no
1163,third,adult,female,no
463,second,adult,male,no
1231,third,adult,female,no
1160,third,adult,female,no
2134,crew,adult,male,no
1541,crew,adult,male,no
653,third,adult,male,yes
573,second,adult,female,no
647,third,adult,male,yes
595,second,child,male,yes
890,third,adult,male,no
1251,third,child,male,no
1558,crew,adult,male,no
1348,crew,adult,male,yes
1300,third,child,female,no
1308,third,child,female,no
470,second,adult,male,no
1806,crew,adult,male,no
1450,crew,adult,male,yes
800,third,adult,male,no
281,first,adult,female,yes
932,third,adult,male,no
732,third,adult,male,no
715,third,adult,male,no
832,third,adult,male,no
951,third,adult,male,no
1144,third,adult,female,yes
1617,crew,adult,male,no
1338,crew,adult,male,yes
1037,third,adult,male,no
2078,crew,adult,male,no
455,second,adult,male,no
584,second,adult,female,no
147,first,adult,male,no
160,first,adult,male,no
1111,third,adult,female,yes
750,third,adult,male,no
1117,third,adult,female,yes
859,third,adult,male,no
952,third,adult,male,no
1991,crew,adult,male,no
1331,crew,adult,male,yes
1219,third,adult,female,no
1215,third,adult,female,no
628,third,adult,male,yes
1560,crew,adult,male,no
606,second,child,female,yes
164,first,adult,male,no
106,first,adult,male,no
1040,third,adult,male,no
1599,crew,adult,male,no
2155,crew,adult,male,no
617,third,adult,male,yes
1988,crew,adult,male,no
1564,crew,adult,male,no
329,second,adult,male,yes
480,second,adult,male,no
498,second,adult,female,yes
1881,crew,adult,male,no
2125,crew,adult,male,no
1429,crew,adult,male,yes
2148,crew,adult,male,no
93,first,adult,male,no
809,third,adult,male,no
433,second,adult,male,no
1107,third,adult,female,yes
43,first,adult,male,yes
860,third,adult,male,no
274,first,adult,female,yes
967,third,adult,male,no
710,third,adult,male,no
1681,crew,adult,male,no
1438,crew,adult,male,yes
1686,crew,adult,male,no
1575,crew,adult,male,no
2176,crew,adult,male,no
1365,crew,adult,male,yes
2156,crew,adult,male,no
1647,crew,adult,male,no
1346,crew,adult,male,yes
765,third,adult,male,no
885,third,adult,male,no
556,second,adult,female,yes
908,third,adult,male,no
1381,crew,adult,male,yes
69,first,adult,male,no
514,second,adult,female,yes
509,second,adult,female,yes
340,second,adult,male,no
221,first,adult,female,yes
1297,third,child,female,yes
146,first,adult,male,no
1313,third,child,female,no
1777,crew,adult,male,no
1053,third,adult,male,no
1822,crew,adult,male,no
1138,third,adult,female,yes
803,third,adult,male,no
508,second,adult,female,yes
1895,crew,adult,male,no
323,first,child,male,yes
1561,crew,adult,male,no
176,first,adult,female,yes
804,third,adult,male,no
1908,crew,adult,male,no
168,first,adult,male,no
1371,crew,adult,male,yes
1400,crew,adult,male,yes
2054,crew,adult,male,no
1392,crew,adult,male,yes
2114,crew,adult,male,no
129,first,adult,male,no
189,first,adult,female,yes
136,first,adult,male,no
1470,crew,adult,male,yes
2108,crew,adult,male,no
1278,third,child,male,no
1973,crew,adult,male,no
894,third,adult,male,no
197,first,adult,female,yes
290,first,adult,female,yes
1483,crew,adult,male,yes
1792,crew,adult,male,no
36,first,adult,male,yes
767,third,adult,male,no
232,first,adult,female,yes
645,third,adult,male,yes
33,first,adult,male,yes
1112,third,adult,female,yes
2131,crew,adult,male,no
2169,crew,adult,male,no
1068,third,adult,male,no
865,third,adult,male,no
341,second,adult,male,no
1085,third,adult,female,yes
1447,crew,adult,male,yes
199,first,adult,female,yes
429,second,adult,male,no
2042,crew,adult,male,no
1418,crew,adult,male,yes
777,third,adult,male,no
1823,crew,adult,male,no
1795,crew,adult,male,no
876,third,adult,male,no
1970,crew,adult,male,no
730,third,adult,male,no
1838,crew,adult,male,no
1923,crew,adult,male,no
919,third,adult,male,no
297,first,adult,female,yes
73,first,adult,male,no
1417,crew,adult,male,yes
807,third,adult,male,no
547,second,adult,female,yes
1603,crew,adult,male,no
1565,crew,adult,male,no
949,third,adult,male,no
1172,third,adult,female,no
2103,crew,adult,male,no
2109,crew,adult,male,no
821,third,adult,male,no
663,third,adult,male,yes
1241,third,child,male,yes
2003,crew,adult,male,no
1563,crew,adult,male,no
2097,crew,adult,male,no
1512,crew,adult,male,no
623,third,adult,male,yes
1692,crew,adult,male,no
1661,crew,adult,male,no
1445,crew,adult,male,yes
1718,crew,adult,male,no
1162,third,adult,female,no
1640,crew,adult,male,no
1022,third,adult,male,no
1750,crew,adult,male,no
291,first,adult,female,yes
2022,crew,adult,male,no
1740,crew,adult,male,no
1007,third,adult,male,no
67,first,adult,male,no
24,first,adult,male,yes
216,first,adult,female,yes
1910,crew,adult,male,no
1153,third,adult,female,no
166,first,adult,male,no
207,first,adult,female,yes
591,second,child,male,yes
1176,third,adult,female,no
1720,crew,adult,male,no
1863,crew,adult,male,no
525,second,adult,female,yes
469,second,adult,male,no
1350,crew,adult,male,yes
1531,crew,adult,male,no
928,third,adult,male,no
1896,crew,adult,male,no
1619,crew,adult,male,no
1469,crew,adult,male,yes
1141,third,adult,female,yes
1913,crew,adult,male,no
956,third,adult,male,no
1488,crew,adult,male,yes
25,first,adult,male,yes
1134,third,adult,female,yes
925,third,adult,male,no
1552,crew,adult,male,no
843,third,adult,male,no
1645,crew,adult,male,no
1020,third,adult,male,no
749,third,adult,male,no
180,first,adult,female,yes
1272,third,child,male,no
1434,crew,adult,male,yes
607,second,child,female,yes
1352,crew,adult,male,yes
1904,crew,adult,male,no
1899,crew,adult,male,no
94,first,adult,male,no
770,third,adult,male,no
637,third,adult,male,yes
1304,third,child,female,no
1208,third,adult,female,no
1395,crew,adult,male,yes
1578,crew,adult,male,no
1198,third,adult,female,no
275,first,adult,female,yes
1152,third,adult,female,no
1206,third,adult,female,no
2080,crew,adult,male,no
1104,third,adult,female,yes
307,first,adult,female,yes
2059,crew,adult,male,no
872,third,adult,male,no
86,first,adult,male,no
1435,crew,adult,male,yes
209,first,adult,female,yes
1966,crew,adult,male,no
1987,crew,adult,male,no
931,third,adult,male,no
130,first,adult,male,no
1723,crew,adult,male,no
2071,crew,adult,male,no
954,third,adult,male,no
555,second,adult,female,yes
1930,crew,adult,male,no
1536,crew,adult,male,no
201,first,adult,female,yes
2023,crew,adult,male,no
368,second,adult,male,no
973,third,adult,male,no
1634,crew,adult,male,no
816,third,adult,male,no
1954,crew,adult,male,no
1316,crew,adult,male,yes
1905,crew,adult,male,no
256,first,adult,female,yes
1472,crew,adult,male,yes
1699,crew,adult,male,no
1605,crew,adult,male,no
1329,crew,adult,male,yes
560,second,adult,female,yes
1877,crew,adult,male,no
373,second,adult,male,no
1684,crew,adult,male,no
1167,third,adult,female,no
2024,crew,adult,male,no
1204,third,adult,female,no
972,third,adult,male,no
1155,third,adult,female,no
2036,crew,adult,male,no
2175,crew,adult,male,no
1071,third,adult,male,no
774,third,adult,male,no
324,first,child,female,yes
84,first,adult,male,no
1589,crew,adult,male,no
1920,crew,adult,male,no
91,first,adult,male,no
430,second,adult,male,no
2105,crew,adult,male,no
1345,crew,adult,male,yes
257,first,adult,female,yes
888,third,adult,male,no
1466,crew,adult,male,yes
1641,crew,adult,male,no
388,second,adult,male,no
273,first,adult,female,yes
756,third,adult,male,no
1925,crew,adult,male,no
1956,crew,adult,male,no
802,third,adult,male,no
2076,crew,adult,male,no
1207,third,adult,female,no
151,first,adult,male,no
714,third,adult,male,no
544,second,adult,female,yes
639,third,adult,male,yes
423,second,adult,male,no
659,third,adult,male,yes
797,third,adult,male,no
2184,crew,adult,female,yes
2008,crew,adult,male,no
99,first,adult,male,no
1871,crew,adult,male,no
2046,crew,adult,male,no
755,third,adult,male,no
976,third,adult,male,no
2163,crew,adult,male,no
1940,crew,adult,male,no
2120,crew,adult,male,no
537,second,adult,female,yes
1701,crew,adult,male,no
2135,crew,adult,male,no
705,third,adult,male,no
1828,crew,adult,male,no
1778,crew,adult,male,no
277,first,adult,female,yes
1033,third,adult,male,no
1731,crew,adult,male,no
763,third,adult,male,no
835,third,adult,male,no
1653,crew,adult,male,no
